Title,Director,Cast,Genre,Year
Jaganmohini,B. Vittalacharya,"Jayamalini, Narasimha Raju, Dhulipala, Prabha, Sarathi",Fantasy drama,1978
Kalanthakulu,K. Viswanath,"Sobhan Babu, Jayasudha, Rao Gopal Rao, Kaikala Satyanarayana",Comedy,1978
Karunamayudu,A. Bhimsingh,"Vijayachander, Kongara Jaggaiah",,1978
Katakataala Rudraiah,Dasari Narayana Rao,"Krishnam Raju, Jayasudha, Jayachitra, Satyanarayana Kaikala, Rao Gopal Rao",Action,1978
KD No:1,K. Raghavendra Rao,"N. T. Rama Rao, Jayasudha, Anjali Devi",Action,1978
Khaidi No. 77,V. Hanuman Prasad,"Murali Mohan, Deepa, Eeshwara Rao",Action,1978
Kondura,Shyam Benegal,"Ananth Nag, Vanisri",,1978
Kumara Raja,P. Sambasiva Rao,"Krishna, Jaya Prada, Mohan Babu",Drama,1978
Lawyer Viswanath,S. D. Lal,"N. T. Rama Rao, Jayasudha",,1978
Mallepoovu,V. Madhusudhan Rao,"Sobhan Babu, Lakshmi, Jayasudha, Rao Gopal Rao",Romance,1978
Mana Voori Pandavulu,Bapu,"Chiranjeevi, Krishnam Raju, Murali Mohan, Geetha, Rao Gopal Rao",Action,1978
Manchi Babai,T. Krishna,"Sobhan Babu, Jayachitra, Jayasudha",Drama,1978
Maro Charitra,K. Balachander,"Kamal Haasan, Saritha, Sarath Babu, Madhavi",Romance,1978
Melu Kolupu,B. V. Prasad,"N. T. Rama Rao, Jaya Prada, K. R. Vijaya, Kaikala Satyanarayana",Drama,1978
Muggure Mugguru,S. D. Lal,"Krishna, Mohan Babu, Jayachitra, Jayamalini",Drama,1978
Naalaaga Endaro,Eeranki Sharma,"Hemasundar, Janaki, Lakshmi Kanth, P. L. Narayana",Drama,1978
Nayudu Bava,P. Chandrashekara Reddy,"Sobhan Babu, Jaya Prada, Jayasudha",Romance,1978
Nindu Manishi,S. D. Lal,"Sobhan Babu, Jayachitra, Deepa, Chalam, Kaikala Satyanarayana",Drama,1978
Oka Oori Katha,Mrinal Sen,"Mamata Shankar, M. V. Vasudeva Rao, G. V. Narayana Rao",Drama,1978
Padaharella Vayasu,K. Raghavendra Rao,"Sridevi, Chandra Mohan, Mohan Babu",Romance,1978
Patnavasam,P. Chandrashekar Reddy,"Krishna, Vijaya Nirmala",Drama,1978
Pottelu Punnamma,R. Thyagarajan,"Mohan Babu, Murali Mohan, Sripriya",Drama,1978
Pranam Khareedu,K. Vasu,"Jayasudha, Chandra Mohan, Chiranjeevi, Rao Gopal Rao, Madhavi",Action,1978
Prema Chesina Pelli,Vijaya Nirmala,"Chandra Mohan, Zarina Wahab, Ranganath, Pandari Bai",Romance,1978
Radha Krishna,V. Madhusudhan Rao,"Sobhan Babu, Jaya Prada",Romance,1978
